file,field,description
financial_profiles.csv,profile_id,Synthetic household profile identifier.
financial_profiles.csv,city,Indian metro or region assigned to the profile.
financial_profiles.csv,monthly_income,Current monthly household income in INR.
financial_profiles.csv,monthly_expenses,Current monthly non-EMI household expenses in INR.
financial_profiles.csv,liquid_savings,Initial cash or liquid savings balance in INR.
financial_profiles.csv,investment_value,Initial invested asset value in INR.
financial_profiles.csv,existing_monthly_emi,Existing non-home EMI obligation in INR per month.
financial_profiles.csv,risk_tolerance,Profile risk band: conservative, balanced, or growth.
financial_profiles.csv,required_emergency_months,Minimum expense coverage expected in liquid savings.
financial_profiles.csv,target_purchase_month,Preferred home purchase month; 0 means already buying at simulation start.
financial_profiles.csv,home_price,Target home purchase price in INR.
financial_profiles.csv,expected_investment_return_annual,Assumed annual investment return for the profile.
financial_profiles.csv,max_emi_to_income_ratio,Maximum total EMI share of monthly income allowed for the profile.
strategies.csv,strategy_id,Unique strategy identifier combining profile_id and strategy_code.
strategies.csv,profile_id,Profile identifier linked to financial_profiles.csv.
strategies.csv,strategy_code,One of full_cash, high_down_payment, balanced_hybrid, or delay_build.
strategies.csv,strategy_name,Human-readable strategy name.
strategies.csv,purchase_month,Month when the home purchase is executed.
strategies.csv,home_price,Home purchase price in INR used by the strategy.
strategies.csv,down_payment,Upfront down payment in INR.
strategies.csv,loan_amount,Home loan principal in INR after down payment.
strategies.csv,loan_tenure_years,Home loan tenure in years; 0 for no loan.
strategies.csv,loan_interest_rate_annual,Annual home loan interest rate used for EMI calculation.
strategies.csv,estimated_monthly_emi,Estimated initial monthly home loan EMI in INR.
stress_scenarios.csv,scenario_id,Unique stress scenario identifier.
stress_scenarios.csv,scenario_name,Human-readable stress scenario name.
stress_scenarios.csv,income_loss_start_month,Month when income shock starts; blank when not applicable.
stress_scenarios.csv,income_loss_duration_months,Number of months affected by the income shock.
stress_scenarios.csv,income_loss_percent,Share of income lost during the income shock.
stress_scenarios.csv,market_drop_month,Month when the one-time investment market drop occurs; blank when not applicable.
stress_scenarios.csv,market_drop_percent,Share of investment value lost in the market drop.
stress_scenarios.csv,unexpected_expense_month,Month when the one-time unexpected expense occurs; blank when not applicable.
stress_scenarios.csv,unexpected_expense_amount,Unexpected expense amount in INR.
stress_scenarios.csv,rate_hike_start_month,Month when the home loan rate hike begins; blank when not applicable.
stress_scenarios.csv,rate_hike_percent_points,Added annual interest rate points after the scenario start month.
monthly_simulations.csv,profile_id,Profile identifier linked to financial_profiles.csv.
monthly_simulations.csv,strategy_id,Strategy identifier linked to strategies.csv.
monthly_simulations.csv,scenario_id,Scenario identifier linked to stress_scenarios.csv.
monthly_simulations.csv,month,Simulation month number.
monthly_simulations.csv,income,Monthly income after any active income-loss stress.
monthly_simulations.csv,expenses_and_existing_emi,Monthly expenses plus existing non-home EMI and any one-time scenario expense in INR.
monthly_simulations.csv,home_emi,Home loan EMI paid in the month in INR.
monthly_simulations.csv,total_emi,Existing EMI plus home EMI in INR.
monthly_simulations.csv,liquid_savings,End-of-month liquid savings balance in INR.
monthly_simulations.csv,investment_value,End-of-month investment value in INR after returns and shocks.
monthly_simulations.csv,outstanding_home_loan,End-of-month outstanding home loan balance in INR.
monthly_simulations.csv,home_owned,1 when the home has been purchased by this month, otherwise 0.
monthly_simulations.csv,net_worth,End-of-month liquid savings plus investments plus home equity in INR.
monthly_simulations.csv,monthly_cash_flow,Income minus expenses and total EMI for the month in INR.
monthly_simulations.csv,breach_flag,1 when a safety constraint is breached in that month, otherwise 0.
monthly_simulations.csv,breach_reason,Safety constraint breached in the month; blank when no breach occurs.
breaking_points.csv,profile_id,Profile identifier linked to financial_profiles.csv.
breaking_points.csv,strategy_id,Strategy identifier linked to strategies.csv.
breaking_points.csv,scenario_id,Scenario identifier linked to stress_scenarios.csv.
breaking_points.csv,first_breach_month,First month with a constraint breach; blank when there is no breach.
breaking_points.csv,breach_reason,First breached constraint, or no_breach when the run remains within constraints.
breaking_points.csv,liquid_savings_at_breach,Liquid savings balance in INR at the first breach month.
breaking_points.csv,investment_value_at_breach,Investment value in INR at the first breach month.
breaking_points.csv,outstanding_home_loan_at_breach,Outstanding home loan balance in INR at the first breach month.
breaking_points.csv,net_worth_at_breach,Net worth in INR at the first breach month.
